City_pop;2015_pop;2018_pop;Country_gdp;2015_gdp;2018_gdp
London;8136000;8750000;GBR;38893.01849;39720.44343
Paris;2244000;2241000;FRA;40638.334;38476.65864
Amsterdam;767000;845000;NLD;50338.25483;48223.15549
Frankfurt;685000;733000;DEU;41785.55691;44469.90906
Madrid;3212000;3166000;ESP;30736.62785;28156.81584
Barcelona;1625000;1609000;ESP;30736.62785;28156.81584
Munich;1340000;1450000;DEU;41785.55691;44469.90906
Rome;2744000;2873000;ITA;35849.3732;31952.97592
Dublin;525000;575000;IRL;48671.88829;69330.69015
Stockholm;850000;910000;SWE;52076.25591;53442.00828
Lisbon;475000;510000;PRT;22538.65408;21136.29721
Berlin;3250000;3520000;DEU;41785.55691;44469.90906
Helsinki;590000;635000;FIN;46202.41516;45703.32787
Warsaw;1720000;1745000;POL;12599.53358;13811.66424
Edinburgh;480000;490000;GBR;38893.01849;39720.44343
Bucharest;1942000;1840000;ROU;8231.312771;10813.7166
Heraklion;156000;174000;GRC;26917.75898;18613.42387
Reykjavik;119000;124000;ISL;41851.73548;70056.87339
Palermo;656000;675000;ITA;35849.3732;31952.97592
Madeira;266000;255000;PRT;22538.65408;21136.29721
