EGLL;LFPG;EHAM;EDDF;LEMD;LEBL;EDDM;LIRF;EIDW;ESSA;LPPT;EDDT;EFHK;EPWA;EGPH;LROP;LGIR;BIKF;LICJ;LPMA
0;1350;882;378;241;189;335;205;788;161;60;530;88;100;364;57;13;53;69;22
1350;0;364;283;135;126;234;133;170;68;29;278;38;51;86;31;7;19;42;10
882;364;0;264;63;55;172;76;129;71;16;330;37;47;88;23;5;16;25;6
378;283;264;0;60;59;454;104;72;60;14;444;33;57;45;28;5;12;30;5
241;135;63;60;0;263;80;101;73;33;116;96;21;25;34;20;6;13;41;19
189;126;55;59;263;0;85;129;50;27;34;89;17;23;25;19;5;9;47;9
335;234;172;454;80;85;0;215;75;78;18;555;46;99;46;52;9;14;55;7
205;133;76;104;101;129;215;0;54;48;22;177;31;52;30;57;15;12;223;9
788;170;129;72;73;50;75;54;0;52;21;129;29;28;249;17;4;27;19;8
161;68;71;60;33;27;78;48;52;0;9;227;245;75;40;26;5;17;18;4
60;29;16;14;116;34;18;22;21;9;0;24;6;6;10;5;2;4;9;11
530;278;330;444;96;89;555;177;129;227;24;0;115;266;89;73;12;26;56;10
88;38;37;33;21;17;46;31;29;245;6;115;0;49;21;20;3;10;12;3
100;51;47;57;25;23;99;52;28;75;6;266;49;0;19;39;5;7;18;3
364;86;88;45;34;25;46;30;249;40;10;89;21;19;0;10;2;18;11;4
57;31;23;28;20;19;52;57;17;26;5;73;20;39;10;0;10;5;23;2
13;7;5;5;6;5;9;15;4;5;2;12;3;5;2;10;0;1;9;1
53;19;16;12;13;9;14;12;27;17;4;26;10;7;18;5;1;0;5;2
69;42;25;30;41;47;55;223;19;18;9;56;12;18;11;23;9;5;0;4
22;10;6;5;19;9;7;9;8;4;11;10;3;3;4;2;1;2;4;0
