Duty Period #,Flights
1,['CC1011']
2,['CC1031']
3,['CC1069']
4,['CC1110']
5,['CC1125']
6,['CC1152']
7,['CC1198']
8,['CC1210']
9,['CC1247']
10,['CC1284']
11,['CC1301']
12,['CC1347']
13,['CC1373']
14,['CC1394']
15,['CC1435']
16,['CC1463']
17,['CC1490']
18,['CC1527']
19,['CC1551']
20,['CC1582']
21,['CC1601']
22,['CC1638']
23,['CC1674']
24,['CC1701']
25,['CC1733']
26,['CC1762']
27,['CC1799']
28,['CC1814']
29,['CC1847']
30,['CC1874']
31,['CC1918']
32,['CC1940']
33,['CC1975']
34,['CC2002']
35,['CC2032']
36,['CC2066']
37,['CC2097']
38,['CC2124']
39,['CC2146']
40,['CC2175']
41,['CC2204']
42,['CC2246']
43,['CC2277']
44,['CC2302']
45,['CC2332']
46,['CC2361']
47,['CC2398']
48,['CC2410']
49,['CC2443']
50,['CC2486']
51,['CC2500']
52,['CC2538']
53,['CC2579']
54,['CC2594']
55,['CC2627']
56,['CC2654']
57,['CC2697']
58,['CC2724']
59,['CC2745']
60,['CC2773']
61,['CC2806']
62,['CC2849']
63,['CC2875']
64,['CC2894']
65,['CC2925']
66,['CC2953']
67,['CC2992']
68,['CC3018']
69,['CC3056']
70,['CC3087']
71,['CC3115']
72,['CC3149']
73,['CC3169']
74,['CC3191']
75,['CC3225']
76,['CC3264']
77,['CC3293']
78,['CC3313']
79,['CC3343']
80,['CC3373']
81,['CC3404']
82,['CC3434']
83,['CC3473']
84,['CC3509']
85,['CC3540']
86,['CC3568']
87,['CC3597']
88,['CC3621']
89,['CC3644']
90,['CC3677']
91,['CC3718']
92,['CC3741']
93,['CC3778']
94,['CC3809']
95,['CC3840']
96,['CC3852']
97,['CC3897']
98,['CC3919']
99,['CC3960']
100,['CC3977']
101,['CC4009']
102,['CC4047']
103,['CC4078']
104,['CC4106']
105,['CC4126']
106,['CC4163']
107,['CC4200']
108,['CC4215']
109,['CC4242']
110,['CC4282']
111,['CC4314']
112,['CC4344']
113,['CC4375']
114,['CC4404']
115,['CC4439']
116,['CC4457']
117,['CC4483']
118,['CC4519']
119,['CC4558']
120,['CC4571']
121,['CC4606']
122,['CC4634']
123,['CC4679']
124,['CC4694']
125,['CC4731']
126,['CC4769']
127,['CC4781']
128,['CC4829']
129,['CC4843']
130,['CC4871']
131,['CC4920']
132,['CC4949']
133,['CC4974']
134,['CC4993']
135,['CC5037']
136,['CC5070']
137,['CC5095']
138,['CC5124']
139,['CC5141']
140,['CC5181']
141,['CC5203']
142,"['CC1210', 'CC2002', 'CC1347', 'CC2594']"
143,"['CC3621', 'CC1918', 'CC1394', 'CC1975']"
144,"['CC1918', 'CC1463', 'CC2302', 'CC1814']"
145,"['CC3897', 'CC2361', 'CC1011', 'CC2443']"
146,"['CC3621', 'CC1918', 'CC1463', 'CC3087', 'CC4282']"
147,"['CC3621', 'CC2538', 'CC1551', 'CC2697', 'CC3568']"
148,"['CC2097', 'CC1733', 'CC3473', 'CC1490']"
149,"['CC1210', 'CC2032', 'CC1198', 'CC2443', 'CC1814']"
150,"['CC3897', 'CC2361', 'CC1301', 'CC2806', 'CC3540']"
151,"['CC1940', 'CC1394', 'CC3056']"
152,"['CC3897', 'CC3018', 'CC4282']"
153,"['CC3621', 'CC2398', 'CC1198']"
154,"['CC3840', 'CC2002', 'CC1031', 'CC3191']"
155,"['CC1210', 'CC2175', 'CC1373', 'CC2146', 'CC1527']"
156,"['CC1210', 'CC2277', 'CC1551', 'CC2146']"
157,"['CC3840', 'CC2302', 'CC1701']"
158,"['CC3897', 'CC2654', 'CC3434', 'CC1527']"
159,"['CC3621', 'CC2361', 'CC1198', 'CC2443', 'CC1527']"
160,"['CC2097', 'CC1373', 'CC2002', 'CC1394', 'CC2146']"
161,"['CC1210', 'CC2002', 'CC1031', 'CC2594']"
162,"['CC3677', 'CC2032', 'CC1582', 'CC3191']"
163,"['CC2002', 'CC1301', 'CC2146', 'CC1527']"
164,"['CC3621', 'CC2032', 'CC1011', 'CC2773', 'CC3568']"
165,"['CC1638', 'CC2332', 'CC1394', 'CC2204', 'CC1125']"
166,"['CC1210', 'CC2398', 'CC1247', 'CC2246', 'CC1814']"
167,"['CC2410', 'CC1198', 'CC2806', 'CC3568']"
168,"['CC1435', 'CC2246', 'CC1347']"
169,"['CC1210', 'CC2697', 'CC3644', 'CC2875']"
170,"['CC3840', 'CC2486', 'CC1762', 'CC3540']"
171,"['CC3621', 'CC2032', 'CC1198', 'CC2246', 'CC1490']"
172,"['CC3741', 'CC2654', 'CC3473', 'CC1347', 'CC2875']"
173,"['CC1638', 'CC2925', 'CC3960', 'CC4519']"
174,"['CC3897', 'CC2724', 'CC3434', 'CC1490']"
175,"['CC1210', 'CC2500', 'CC1762']"
176,"['CC3897', 'CC1918', 'CC1394', 'CC2875']"
177,"['CC3741', 'CC2302', 'CC1582', 'CC3191']"
178,"['CC1152', 'CC2361', 'CC1247', 'CC2246', 'CC1874']"
179,"['CC1110', 'CC2361', 'CC1301']"
180,"['CC1210', 'CC2032', 'CC1527']"
181,"['CC3840', 'CC2486', 'CC1582', 'CC3056']"
182,"['CC2032', 'CC1031']"
183,"['CC1110', 'CC2361', 'CC1394', 'CC2146', 'CC1490']"
184,"['CC3897', 'CC2486', 'CC1301', 'CC2875']"
185,"['CC3897', 'CC2486', 'CC1301', 'CC1975']"
186,"['CC2277', 'CC1011', 'CC2443', 'CC1527']"
187,"['CC1733', 'CC3434']"
188,"['CC1210', 'CC1918', 'CC1011', 'CC1975']"
189,"['CC1210', 'CC2175', 'CC1463', 'CC2443', 'CC1527']"
190,"['CC3677', 'CC2277', 'CC1551', 'CC2697', 'CC3540']"
191,"['CC2410', 'CC1284', 'CC2002', 'CC1582', 'CC2594']"
192,"['CC1152', 'CC2124', 'CC1601', 'CC2146']"
193,"['CC3897', 'CC2398', 'CC1301', 'CC2146', 'CC1490']"
194,"['CC3621', 'CC2361', 'CC1011', 'CC2697', 'CC3597']"
195,"['CC4781', 'CC2875']"
196,"['CC2175', 'CC1435', 'CC2654', 'CC3434', 'CC1125']"
197,"['CC3897', 'CC2032']"
198,"['CC1674', 'CC3778', 'CC2302', 'CC1125']"
199,"['CC1210', 'CC1918', 'CC1463', 'CC2773', 'CC3540']"
200,"['CC2175', 'CC1373', 'CC2579', 'CC3644', 'CC2594']"
201,"['CC1152', 'CC3293', 'CC5095', 'CC4606']"
202,"['CC2410', 'CC1284', 'CC2002', 'CC1031', 'CC2953']"
203,"['CC2410', 'CC1198', 'CC2697', 'CC3644', 'CC3056']"
204,"['CC2486', 'CC1601', 'CC2146', 'CC1490']"
205,"['CC2302', 'CC1601', 'CC2146', 'CC1814']"
206,"['CC1152', 'CC2398', 'CC1011', 'CC3149', 'CC4679']"
207,"['CC2097', 'CC1435', 'CC2500', 'CC1874']"
208,"['CC1210', 'CC2124', 'CC1701']"
209,"['CC3621', 'CC2538', 'CC1301', 'CC2204', 'CC1874']"
210,"['CC2410', 'CC1284', 'CC2849', 'CC3960', 'CC4519']"
211,"['CC1069', 'CC2332', 'CC1347', 'CC2594']"
212,"['CC2277', 'CC1247', 'CC2953']"
213,"['CC2277', 'CC1198', 'CC2443', 'CC1347', 'CC2594']"
214,"['CC1210', 'CC1918', 'CC1551', 'CC2806', 'CC3540']"
215,"['CC3778', 'CC2124', 'CC1394', 'CC2146', 'CC1125']"
216,"['CC3897', 'CC2361', 'CC1011', 'CC2594']"
217,"['CC1918', 'CC1247', 'CC2246', 'CC1347', 'CC2594']"
218,"['CC3897', 'CC2398', 'CC1011', 'CC2066', 'CC1490']"
219,"['CC1674', 'CC3778', 'CC2124', 'CC1125']"
220,"['CC2175', 'CC1373', 'CC2500', 'CC1814']"
221,"['CC3677', 'CC2332', 'CC1601', 'CC2146', 'CC1814']"
222,"['CC4920', 'CC1940', 'CC1031', 'CC3191']"
223,"['CC4829', 'CC2332', 'CC1301', 'CC2953']"
224,"['CC3343', 'CC5181', 'CC2443', 'CC1347', 'CC2875']"
225,"['CC1373', 'CC2697', 'CC3568']"
226,"['CC1210', 'CC2538', 'CC1198', 'CC2627']"
227,"['CC1152', 'CC2277', 'CC1247', 'CC2246', 'CC1527']"
228,"['CC3840', 'CC2654', 'CC3473', 'CC1874']"
229,"['CC1110', 'CC2724', 'CC3473', 'CC1347']"
230,"['CC4920', 'CC2002', 'CC1814']"
231,"['CC1152', 'CC2398', 'CC1198', 'CC2204', 'CC1490']"
232,"['CC1152', 'CC2032', 'CC1551', 'CC3149']"
233,"['CC3621', 'CC1918', 'CC1435', 'CC2302', 'CC1874']"
234,"['CC1110', 'CC3293', 'CC4974', 'CC2146']"
235,"['CC1210', 'CC2654', 'CC3644', 'CC2875']"
236,"['CC3677', 'CC2277', 'CC1198', 'CC2697', 'CC3568']"
237,"['CC3621', 'CC1940', 'CC1301', 'CC2146', 'CC1814']"
238,"['CC1210', 'CC1918', 'CC1011', 'CC2146', 'CC1125']"
239,"['CC3897', 'CC2032', 'CC1247', 'CC2066', 'CC1125']"
240,"['CC2361', 'CC1551', 'CC2246', 'CC1125']"
241,"['CC1210', 'CC2032', 'CC1247', 'CC2697', 'CC3568']"
242,"['CC1210', 'CC2175', 'CC1198', 'CC2627']"
243,"['CC3897', 'CC2332', 'CC1301', 'CC2875']"
244,"['CC3621', 'CC2361', 'CC1394', 'CC3191']"
245,"['CC1210', 'CC2486', 'CC1394', 'CC2204']"
246,"['CC1210', 'CC2398', 'CC1198', 'CC2066', 'CC1874']"
247,"['CC2097', 'CC1463', 'CC2066']"
248,"['CC1152', 'CC2032', 'CC1301', 'CC2146', 'CC1125']"
249,"['CC1674', 'CC3778', 'CC2302', 'CC1031']"
250,"['CC2745', 'CC3778', 'CC2302', 'CC1814']"
251,"['CC1463', 'CC2066']"
252,"['CC3897', 'CC2361', 'CC1247', 'CC2066', 'CC1814']"
253,"['CC1210', 'CC2175', 'CC1373', 'CC2654', 'CC3718']"
254,"['CC1069', 'CC2500']"
255,"['CC2745', 'CC3741', 'CC2579', 'CC3644', 'CC2875']"
256,"['CC1110', 'CC2302', 'CC1527']"
257,"['CC1210', 'CC1918', 'CC1435', 'CC2654', 'CC3718']"
258,"['CC1638', 'CC2032', 'CC1198', 'CC2146', 'CC1490']"
259,"['CC3621', 'CC2398', 'CC1551', 'CC2066', 'CC1125']"
260,"['CC2097', 'CC1373', 'CC2002', 'CC1527']"
261,"['CC4920', 'CC2124', 'CC1582', 'CC2875']"
262,"['CC1152', 'CC2032', 'CC1551', 'CC2443', 'CC1125']"
263,"['CC1674', 'CC3778', 'CC2124', 'CC1394', 'CC3056']"
264,"['CC1210', 'CC2175', 'CC1463', 'CC2066', 'CC1701']"
265,"['CC2410', 'CC1284', 'CC2724', 'CC3404', 'CC1701']"
266,"['CC1152', 'CC2538', 'CC1551', 'CC2806']"
267,"['CC1373', 'CC2124', 'CC1394', 'CC1975']"
268,"['CC3897', 'CC2032', 'CC1198', 'CC2443', 'CC1701']"
269,"['CC3741', 'CC2579', 'CC3473', 'CC1874']"
270,"['CC1638', 'CC2124', 'CC1582', 'CC3056']"
271,"['CC1210', 'CC2032', 'CC1198', 'CC2246', 'CC1527']"
272,"['CC1674', 'CC3741', 'CC2124', 'CC1601', 'CC2594']"
273,"['CC2097', 'CC1284', 'CC2724', 'CC3404', 'CC1490']"
274,"['CC1110', 'CC2398', 'CC1551', 'CC2443']"
275,"['CC1733', 'CC3509', 'CC1601', 'CC2875']"
276,"['CC1069', 'CC2332', 'CC1601', 'CC2953']"
277,"['CC1210', 'CC1918', 'CC1394', 'CC3191']"
278,"['CC1638', 'CC2654', 'CC3404', 'CC1874']"
279,"['CC1152', 'CC2398', 'CC1799', 'CC4781']"
280,"['CC2410', 'CC1284', 'CC2486', 'CC1582']"
281,"['CC2175', 'CC1551', 'CC2066']"
282,"['CC1069', 'CC2486', 'CC1301', 'CC2204']"
283,"['CC3621', 'CC2124', 'CC1031', 'CC2627']"
284,"['CC2745', 'CC3741', 'CC2443', 'CC1125']"
285,"['CC4215', 'CC2066', 'CC1125']"
286,"['CC1638', 'CC2332', 'CC1582', 'CC3056']"
287,"['CC1674', 'CC3741', 'CC2654', 'CC3597', 'CC3191']"
288,"['CC3677', 'CC2579', 'CC3434']"
289,"['CC3840', 'CC2246', 'CC1527']"
290,"['CC1152', 'CC2398', 'CC1198', 'CC2246', 'CC1347']"
291,"['CC1110', 'CC2361', 'CC1799']"
292,"['CC2097', 'CC1069', 'CC2654', 'CC3473', 'CC1762']"
293,"['CC1210', 'CC2175', 'CC1435', 'CC2806', 'CC3718']"
294,"['CC1198', 'CC2146']"
295,"['CC1210', 'CC2361', 'CC1551', 'CC2204']"
296,"['CC2097', 'CC1463', 'CC2066', 'CC1347']"
297,"['CC1210', 'CC2398', 'CC1198', 'CC2066', 'CC1527']"
298,"['CC2410', 'CC1373', 'CC2002', 'CC1301']"
299,"['CC1210', 'CC2002', 'CC1031']"
300,"['CC1463', 'CC2302', 'CC1031', 'CC2627']"
301,"['CC3621', 'CC2398', 'CC1551', 'CC2246']"
302,"['CC4829', 'CC1940', 'CC1394', 'CC2204', 'CC1874']"
303,"['CC1069', 'CC2654', 'CC3597', 'CC2875']"
304,"['CC2361', 'CC1551', 'CC3149', 'CC4679']"
305,"['CC3897', 'CC2361', 'CC1551', 'CC2066', 'CC1814']"
306,"['CC3741', 'CC2066', 'CC1490']"
307,"['CC1638', 'CC2486', 'CC1701']"
308,"['CC1210', 'CC2538', 'CC1198', 'CC2066']"
309,"['CC1918', 'CC1551']"
310,"['CC2032', 'CC1247', 'CC1975']"
311,"['CC4694', 'CC1198', 'CC2697', 'CC3540']"
312,"['CC1110', 'CC2124', 'CC1394', 'CC2204', 'CC1125']"
313,"['CC1110', 'CC2992']"
314,"['CC3778', 'CC2246', 'CC1814']"
315,"['CC3897', 'CC3293', 'CC5095', 'CC4314']"
316,"['CC3677', 'CC1940', 'CC1301', 'CC1975']"
317,"['CC1435', 'CC2500', 'CC1527']"
318,"['CC1210', 'CC1940', 'CC1301', 'CC2146', 'CC1814']"
319,"['CC2175', 'CC1551', 'CC2246', 'CC1347']"
320,"['CC1638', 'CC2002', 'CC1301', 'CC2204', 'CC1814']"
321,"['CC4078', 'CC4457', 'CC3960', 'CC4519']"
322,"['CC3677', 'CC2124', 'CC1601', 'CC2953']"
323,"['CC2097', 'CC1373', 'CC2443', 'CC1125']"
324,"['CC2410', 'CC1247', 'CC2953']"
325,"['CC3897', 'CC1918', 'CC1435', 'CC2204', 'CC1527']"
326,"['CC4694', 'CC1247', 'CC2443', 'CC1527']"
327,"['CC1210', 'CC1918', 'CC1011', 'CC3191']"
328,"['CC1110', 'CC2538', 'CC1247', 'CC2246', 'CC1125']"
329,"['CC1674', 'CC3741', 'CC2724', 'CC3434', 'CC1490']"
330,"['CC1210', 'CC1940', 'CC1601', 'CC2146', 'CC1814']"
331,"['CC1674', 'CC3741', 'CC2246']"
332,"['CC2032', 'CC1551', 'CC2146', 'CC1527']"
333,"['CC3621', 'CC3293', 'CC5070', 'CC4047', 'CC4314']"
334,"['CC2410', 'CC1011', 'CC3149']"
335,"['CC1152', 'CC2398', 'CC1601', 'CC2146', 'CC1527']"
336,"['CC1210', 'CC2654', 'CC3404', 'CC1701']"
337,"['CC1152', 'CC2002', 'CC1601', 'CC2146', 'CC1490']"
338,"['CC4694', 'CC1247', 'CC2246', 'CC1490']"
339,"['CC3621', 'CC1940', 'CC1347']"
340,"['CC2410', 'CC1435', 'CC2654', 'CC3404', 'CC1814']"
341,"['CC2410', 'CC1284', 'CC2579', 'CC3473', 'CC1527']"
342,"['CC1638', 'CC2500', 'CC1582', 'CC2594']"
343,"['CC1152', 'CC2032', 'CC1551', 'CC2697', 'CC3568']"
344,"['CC3677', 'CC2002', 'CC1031', 'CC2146', 'CC1814']"
345,"['CC3677', 'CC2277', 'CC1394', 'CC3056']"
346,"['CC4106', 'CC4375', 'CC3960', 'CC4314']"
347,"['CC3897', 'CC2302', 'CC1347', 'CC2594']"
348,"['CC2097', 'CC1394', 'CC2204', 'CC1874']"
349,"['CC3840', 'CC2002', 'CC1031', 'CC2875']"
350,"['CC1918', 'CC1435', 'CC2302', 'CC1701']"
351,"['CC3897', 'CC2032', 'CC1247', 'CC3149']"
352,"['CC3621', 'CC2277', 'CC1011', 'CC2066', 'CC1125']"
353,"['CC3621', 'CC1940', 'CC1301', 'CC2146', 'CC1490']"
354,"['CC2410', 'CC1247', 'CC2697', 'CC3644']"
355,"['CC1110', 'CC2032', 'CC1601', 'CC3056']"
356,"['CC1210', 'CC2361', 'CC1301', 'CC2627']"
357,"['CC2097', 'CC1031', 'CC2594']"
358,"['CC1210', 'CC2486', 'CC1301', 'CC3191']"
359,"['CC2410', 'CC1301', 'CC3191']"
360,"['CC1152', 'CC2277', 'CC1247', 'CC2246', 'CC1347']"
361,"['CC4829', 'CC3087', 'CC4282']"
362,"['CC1110', 'CC2277', 'CC1198', 'CC3191']"
363,"['CC1152', 'CC2398', 'CC1551', 'CC2806', 'CC3568']"
364,"['CC1110', 'CC2361', 'CC1031', 'CC3056']"
365,"['CC2745', 'CC3778', 'CC2579', 'CC3473', 'CC1874']"
366,"['CC3897', 'CC2538', 'CC1551', 'CC2443', 'CC1874']"
367,"['CC1210', 'CC1918', 'CC1463', 'CC2302', 'CC1762']"
368,"['CC3677', 'CC1940', 'CC1394', 'CC2146', 'CC1490']"
369,"['CC3621', 'CC2398', 'CC1762']"
370,"['CC2277', 'CC1011', 'CC2246', 'CC1347']"
371,"['CC4200', 'CC4974', 'CC2627']"
372,"['CC3621', 'CC2654', 'CC3473', 'CC1347']"
373,"['CC1110', 'CC2032', 'CC1011', 'CC2443', 'CC1874']"
374,"['CC1210', 'CC2175', 'CC1463', 'CC2066']"
375,"['CC3677', 'CC2849', 'CC4009']"
376,"['CC3741', 'CC2654', 'CC3404', 'CC1347', 'CC2594']"
