Duty Period #,Flights,Origin,Destination,Departure,Arrival,Duty Time,Overnight,Cost
1,['CC1011'],EGLL,LFPG,13:20:00,14:10:00,0 days 01:40:00,1215.0,1774.6666666666667
2,['CC1031'],EGLL,LFPG,16:55:00,17:45:00,0 days 01:40:00,1215.0,1774.6666666666667
3,['CC1069'],EGLL,LFPG,08:55:00,09:45:00,0 days 01:40:00,1215.0,1774.6666666666667
4,['CC1110'],EGLL,LFPG,06:50:00,07:40:00,0 days 01:40:00,1215.0,1774.6666666666667
5,['CC1125'],EGLL,LFPG,21:15:00,22:05:00,0 days 01:40:00,1215.0,1774.6666666666667
6,['CC1152'],EGLL,LFPG,06:50:00,07:40:00,0 days 01:40:00,1215.0,1774.6666666666667
7,['CC1198'],EGLL,LFPG,14:10:00,15:00:00,0 days 01:40:00,1215.0,1774.6666666666667
8,['CC1210'],EGLL,LFPG,06:05:00,06:55:00,0 days 01:40:00,1215.0,1774.6666666666667
9,['CC1247'],EGLL,LFPG,13:15:00,14:05:00,0 days 01:40:00,1215.0,1774.6666666666667
10,['CC1284'],EGLL,LFPG,10:20:00,11:10:00,0 days 01:40:00,1215.0,1774.6666666666667
11,['CC1301'],EGLL,LFPG,15:30:00,16:30:00,0 days 01:50:00,1215.0,1812.8333333333333
12,['CC1347'],EGLL,LFPG,19:20:00,20:20:00,0 days 01:50:00,1215.0,1812.8333333333333
13,['CC1373'],EGLL,LFPG,10:40:00,11:40:00,0 days 01:50:00,1215.0,1812.8333333333333
14,['CC1394'],EGLL,LFPG,15:50:00,16:50:00,0 days 01:50:00,1215.0,1812.8333333333333
15,['CC1435'],EGLL,LFPG,10:55:00,11:55:00,0 days 01:50:00,1215.0,1812.8333333333333
16,['CC1463'],EGLL,LFPG,11:35:00,12:35:00,0 days 01:50:00,1215.0,1812.8333333333333
17,['CC1490'],EGLL,LFPG,21:20:00,22:20:00,0 days 01:50:00,1215.0,1812.8333333333333
18,['CC1527'],EGLL,LFPG,21:30:00,22:30:00,0 days 01:50:00,1215.0,1812.8333333333333
19,['CC1551'],EGLL,LFPG,13:50:00,14:50:00,0 days 01:50:00,1215.0,1812.8333333333333
20,['CC1582'],EGLL,LFPG,17:55:00,18:55:00,0 days 01:50:00,1215.0,1812.8333333333333
21,['CC1601'],EGLL,LFPG,16:35:00,17:45:00,0 days 02:00:00,1215.0,1851.0
22,['CC1638'],EGLL,LFPG,07:20:00,08:30:00,0 days 02:00:00,1215.0,1851.0
23,['CC1674'],EGLL,EHAM,06:35:00,07:50:00,0 days 02:05:00,705.0,1360.0833333333333
24,['CC1701'],EGLL,EHAM,20:20:00,21:35:00,0 days 02:05:00,705.0,1360.0833333333333
25,['CC1733'],EGLL,EHAM,08:55:00,10:10:00,0 days 02:05:00,705.0,1360.0833333333333
26,['CC1762'],EGLL,EHAM,18:20:00,19:35:00,0 days 02:05:00,705.0,1360.0833333333333
27,['CC1799'],EGLL,EIDW,12:40:00,14:00:00,0 days 02:10:00,555.0,1229.1666666666667
28,['CC1814'],EGLL,EIDW,21:25:00,22:45:00,0 days 02:10:00,555.0,1229.1666666666667
29,['CC1847'],EGLL,EIDW,17:35:00,18:55:00,0 days 02:10:00,555.0,1229.1666666666667
