Aircraft;Type;Total profit;Utilization [h/day];;;;;
Aircraft 1;Type 3;56187.97;02:06;;;;;
Departure Day;Departure Time;Arrival Time;Origin;Destination;Cargo;Load factor;Profit;
1;23:30;01:12;CDG;MAD;120000;1;16464.53;01:40
2;03:42;05:24;MAD;CDG;72774.15;0.61;3393.66;01:40
2;07:54;08:54;CDG;AMS;120000;1;4204.09;00:57
2;20:54;21:54;AMS;CDG;120000;1;4204.09;00:57
3;00:24;01:24;CDG;AMS;120000;1;4204.09;00:57
3;03:54;04:54;AMS;CDG;120000;1;4204.09;00:57
4;03:54;05:36;CDG;MAD;120000;1;16464.53;01:40
5;07:54;09:36;MAD;CDG;71528.52;0.6;3048.9;01:40
