Aircraft;Type;Total profit;Utilization [h/day];;;;;;
Aircraft 3;Type 1;6917.81;04:19;;;;;;
Departure Day;Departure Time;Arrival Day;Arrival Time;Origin;Destination;Cargo;Load factor;Profit;
2;00:24;1;02:18;CDG;MAD;23000;1;601.49;01:54
2;03:54;1;05:48;MAD;CDG;23000;1;601.49;01:54
2;20:00;1;22:24;CDG;PMO;19686.22;0.86;-143.17;02:24
2;23:54;2;02:18;PMO;CDG;23000;1;1138.3;02:24
3;03:54;2;06:06;CDG;WAW;21084.22;0.92;285.71;02:12
3;21:24;2;23:36;WAW;CDG;23000;1;954.41;02:12
4;01:06;3;03:00;CDG;MAD;23000;1;601.49;01:54
4;04:30;3;06:24;MAD;CDG;23000;1;601.49;01:54
4;07:54;3;10:18;CDG;PMO;23000;1;1138.3;02:24
5;07:54;4;10:18;PMO;CDG;23000;1;1138.3;02:24
