EGLL;LFPG;EHAM;EDDF;LEMD;LEBL;EDDM;LIRF;EIDW;ESSA;LPPT;EDDT;EFHK;EPWA;EGPH;LROP;LGIR;BIKF;LICJ;LPMA
0;985;620;295;210;187;265;205;523;141;71;407;71;95;289;56;24;51;80;37
985;0;278;233;131;111;198;126;147;62;33;250;44;61;93;30;9;30;37;20
620;278;0;198;69;51;148;66;108;51;3;249;44;31;65;15;9;1;34;1
295;233;198;0;53;54;317;86;54;49;8;330;17;36;31;22;1;21;29;16
210;131;69;53;0;248;89;117;61;31;92;98;11;30;29;9;1;13;34;35
187;111;51;54;248;0;85;125;37;30;50;84;9;28;21;19;13;1;58;17
265;198;148;317;89;85;0;190;63;83;15;390;58;92;50;48;1;6;68;1
205;126;66;86;117;125;190;0;48;60;39;171;48;44;40;60;28;2;187;23
523;147;108;54;61;37;63;48;0;48;9;114;15;13;182;4;2;31;25;13
141;62;51;49;31;30;83;60;48;0;2;175;176;71;31;29;1;9;25;11
71;33;3;8;92;50;15;39;9;2;0;32;4;15;7;20;1;4;1;15
407;250;249;330;98;84;390;171;114;175;32;0;89;210;80;53;14;30;62;11
71;44;44;17;11;9;58;48;15;176;4;89;0;55;33;14;2;17;22;4
95;61;31;36;30;28;92;44;13;71;15;210;55;0;11;47;11;3;34;1
289;93;65;31;29;21;50;40;182;31;7;80;33;11;0;10;5;16;1;12
56;30;15;22;9;19;48;60;4;29;20;53;14;47;10;0;1;14;31;17
24;9;9;1;1;13;1;28;2;1;1;14;2;11;5;1;0;6;1;8
51;30;1;21;13;1;6;2;31;9;4;30;17;3;16;14;6;0;1;18
80;37;34;29;34;58;68;187;25;25;1;62;22;34;1;31;1;1;0;1
37;20;1;16;35;17;1;23;13;11;15;11;4;1;12;17;8;18;1;0
