EGLL;LFPG;EHAM;EDDF;LEMD;LEBL;EDDM;LIRF;EIDW;ESSA;LPPT;EDDT;EFHK;EPWA;EGPH;LROP;LGIR;BIKF;LICJ;LPMA
0;968;630;289;237;187;276;194;507;150;44;432;87;97;276;67;13;32;63;34
968;0;291;239;140;118;200;141;135;60;40;233;41;51;87;28;21;34;48;2
630;291;0;206;51;45;139;91;95;60;11;265;41;39;65;10;2;8;35;18
289;239;206;0;75;48;323;108;71;69;30;325;47;58;26;40;10;16;42;9
237;140;51;75;0;244;88;91;54;46;103;106;38;28;49;35;2;8;34;30
187;118;45;48;244;0;96;112;31;33;43;89;26;10;26;23;1;23;40;2
276;200;139;323;88;96;0;179;74;69;26;390;35;83;29;54;7;1;47;8
194;141;91;108;91;112;179;0;59;66;23;160;22;57;46;41;17;1;201;22
507;135;95;71;54;31;74;59;0;46;33;116;23;39;154;25;6;8;26;9
150;60;60;69;46;33;69;66;46;0;1;193;190;76;52;25;4;20;34;1
44;40;11;30;103;43;26;23;33;1;0;36;1;1;23;1;8;5;14;21
432;233;265;325;106;89;390;160;116;193;36;0;98;195;72;75;26;21;67;10
87;41;41;47;38;26;35;22;23;190;1;98;0;46;26;5;1;15;4;1
97;51;39;58;28;10;83;57;39;76;1;195;46;0;28;26;20;1;9;17
276;87;65;26;49;26;29;46;154;52;23;72;26;28;0;23;12;28;22;17
67;28;10;40;35;23;54;41;25;25;1;75;5;26;23;0;3;1;39;12
13;21;2;10;2;1;7;17;6;4;8;26;1;20;12;3;0;1;12;1
32;34;8;16;8;23;1;1;8;20;5;21;15;1;28;1;1;0;1;1
63;48;35;42;34;40;47;201;26;34;14;67;4;9;22;39;12;1;0;1
34;2;18;9;30;2;8;22;9;1;21;10;1;17;17;12;1;1;1;0
